ГруппаВакансий,ОпытРаботы,НазваниеДолжности,КлючевыеТребования,Знания,Навыки,Опыт
Сетевой инженер,1-3 года,Инженер по управлению голосовой/сигнальной маршрутизацией,,"[""Знания принципов работы и структуры построения сотовых сетей стандарта GSM/UMTS/LTE/IMS"", ""Знания стека протоколов ОКС7, TCP/IP, понимание принципов маршрутизации и резервирования в IP сетях"", ""Знания протокола SIP, принципов построения VoIP сетей и передачи голоса по IP сетям"", ""Знание принципов и основ программирования на любом из современных языков для составления скриптов, используемых в работе с телеком-оборудованием""]",,
Сетевой инженер,1-3 года,Инженер Группы обслуживания систем безопасности,"[""MS Access"", ""Автоматизация процессов"", ""Уверенный пользователь ПК"", ""Pascal""]","[""Знание принципов построения компьютерных сетей и работы сетевого оборудования"", ""Понимание основ работы системы видеонаблюдения (трансляция, хранение архива, предоставление записей);                                              Опыт, связанный с администрированием серверных платформ и операционных систем"", ""Опыт работы с активным сетевым оборудованием"", ""Опыт автоматизации процессов на языках программирования""]",,
Сетевой инженер,1-3 года,Инженер-пресейл/Project manager (удаленно),"[""Pre-sales инженер"", ""Пресейл"", ""Сетевые технологии"", ""Телеком"", ""Техническая консультация""]","[""Опыт на позиции пресейл-инженера или проджект менеджера от 1 года"", ""Понимание принципов функционирования сетей связи – модель OSI, принципов работы сетевых протоколов 2-4 уровня"", ""Понимание специфики построения крупных сетей уровня предприятия и оператор связи"", ""Понимание принципов построения серверных платформ на примере любого популярного вендора""]",,
Сетевой инженер,1-3 года,Старший инженер по управлению на транспортной сети,,"[""знание стека протоколов TCP/IP, модели OSI, технологий и протоколов L2/L3 уровней"", ""знание протоколов динамической маршрутизации (IS-IS, OSPF, BGP)"", ""знание технологии (MPLS, MPLS/IPVPN, QoS)"", ""знание принципов работы оборудования (IP/MPLS, РРЛ, DWDM)"", ""знание принципов работы сетевой синхронизации"", ""понимание основ программирования""]",,
Сетевой инженер,1-3 года,SRE engineer (CS Core),"[""Английский язык"", ""MS PowerPoint"", ""Internet"", ""CSCore"", ""оборудование Ericsson"", ""SS7, VOIP"", ""MSS, MGW""]","[""Опыт работы в вендоре или телеком-операторе"", ""Опыт работы с коммутационным оборудованием (Ericsson, Nokia)"", ""Знание структуры мобильной сети, назначения подсистем и сетевых элементов, опыт эксплуатации"", ""Знание технологий передачи данных в сетях мобильной связи, знания топологии сети, знание протоколов сигнализации (VOIP, SS7 и тд)"", ""Знание как минимум одного языка программирования""]",,
Сетевой инженер,1-3 года,Главный специалист сектора передачи данных отдела связи,"[""Cisco"", ""передача данных"", ""Администрирование сетевого оборудования""]","[""стаж работы не менее 2 лет"", ""наличие группы по ЭБ не ниже III"", ""навыки работы с сетями передачи данных, оборудованием Cisco, знание и понимание принципов работы стандартных технологий и протоколов.                                                                                                                    эксплуатация оборудования сети передачи данных (Cisco, Extreme, QTECH, Eltex)"", ""эксплуатация системы мониторинга""]",,
Сетевой инженер,1-3 года,Сетевой инженер,"[""Cisco"", ""Linux"", ""Zabbix"", ""Администрирование сетевого оборудования"", ""Администрирование"", ""Английский — B2 — Средне-продвинутый""]","[""Уверенное знание протоколов:"", ""IPSec"", ""OSPF"", ""BGP"", ""Понимание работы следующих протоколов и технологий:"", ""DMVPN"", ""VRF Lite"", ""STP"", ""Опыт конфигурирования и настройки сетевого оборудования Cisco ASR и Cisco ASA, коммутаторы уровня 3750 и 2960"", ""Базовые навыки работы с Linux""]",,
Сетевой инженер,1-3 года,Инженер по виртуальной инфраструктуре/Cloud,"[""TCP/IP"", ""Администрирование сетевого оборудования"", ""DHCP"", ""VPN"", ""Маршрутизация динамическая"", ""Linux"", ""Zabbix"", ""Huawei"", ""Администрирование серверов Linux""]","[""Опыт работы в вендоре или телеком-операторе."", ""Знание структуры мобильной сети, назначения подсистем и сетевых элементов, опыт эксплуатации."", ""Практический опыт (не менее 1 года) эксплуатации высоконагруженных систем, требующих соблюдения жёстких SLA."", ""Практический опыт работ по замене сетевого оборудования в дата центре."", ""Динамическая маршрутизация OSPF/BGP."", ""Понимание основ коммутации и маршрутизации, знание стэка TCP/IP технологий ECMP, VLAN, агрегация каналов, NAT, VPN, QoS, PBR, ACL и пр."", ""Опыт работы с Linux, администрированием основных служб (DNS, DHCP, HTTP, FTP, SSH, syslog, FW и пр.)."", ""Любой опыт в автоматизации – написание скриптов для конфигурации оборудования и обработка данных""]",,
Сетевой инженер,1-3 года,Сетевой инженер,"[""Локальная сеть"", ""Конфигурирование оборудования"", ""Маршрутизация динамическая"", ""Межсетевые экраны""]","[""релевантный опыт работы от 2 лет (предпочтительно в интеграторах или операторах связи)"", ""теоретические знания и практический опыт в области построения локальных сетей"", ""уверенные теоретические знания в области построения беспроводных сетей (практический опыт будет преимуществом)"", ""опыт конфигурирования оборудования (предпочтительно из перечисленного: Cisco, Eltex, Huawei, HPE, Qtech)"", ""знание и понимание принципов работы основных протоколов динамической маршрутизации"", ""понимание технологий, опыт построения защищенных VPN сетей (в частности, IPSec)"", ""понимание схем и технологий построения отказоустойчивых сетей"", ""основы информационной безопасности при построении сетей"", ""теоретические знания и практический опыт настройки межсетевых экранов""]",,
Сетевой инженер,1-3 года,Старший инженер по эксплуатации сервисов внутризоновой транспортной сети,"[""TCP/IP"", ""Linux"", ""Shell Scripting"", ""Английский язык"", ""Техническое обслуживание""]","[""Знание принципов построения и топологий транспортных сетей, систем управления сетями, взаимосвязи сетевых элементов в системах"", ""Знание и умение использовать, вспомогательное программное обеспечение для целей эксплуатации оборудования и ПО"", ""Знание структуры и принципов построения сотовых сетей связи""]",,
Сетевой инженер,1-3 года,Инженер по сетевой безопасности,"[""presale"", ""Сетевые технологии"", ""Сетевое оборудование"", ""Cisco"", ""HPE"", ""Aruba"", ""Juniper"", ""CCNA"", ""CCNP"", ""Check Point"", ""UserGate"", ""Positive Technologies""]","[""Опыт работы по специальности не менее 2 лет"", ""Инженерные навыки работы с оборудованием сетевой безопасности Check Point, UserGate, Positive Technologies, Код Безопасности и других ведущих производителей"", ""Инженерные навыки работы с сетевым оборудованием Cisco, HPE/Aruba, Juniper и других ведущих производителей"", ""Опыт подготовки технических решений по сетевому направлению и сетевой безопасности""]",,
Сетевой инженер,1-3 года,Старший инженер по эксплуатации внутризоновой сети,"[""TCP/IP"", ""Linux"", ""Shell Scripting""]","[""Знание и понимание протоколов и технологий, используемых в IP/MPLS сетях, протоколов - BGP, OSPF, LDP, RSVP, STP, Ethernet"", ""Опыт работы с оборудованием производства Huawei, Juniper, Cisco является плюсом"", ""Опыт разработки скриптов и средств автоматизации рутинных процессов (bash, Python и т.п.) является плюсом"", ""Понимание принципов построения и функционирования транспортных сетей операторов связи""]",,
Сетевой инженер,1-3 года,Release Manager,,"[""1+ год опыта работы в команде разработки в роли - QA, PO, PM или RM"", ""Понимание цикла разработки программного обеспечения, жизненного цикла продукта и принципов управления""]",,
Сетевой инженер,1-3 года,Инженер инфраструктуры / виртуализации,"[""Администрирование сетевого оборудования"", ""Виртуализация""]","[""Опыт работы инженером инфраструктуры/виртуализации от двух лет."", ""Наличие технического бэкграунда и глубокое понимание следующих тем: гиперковергентные платформы, IT-инфраструктура, виртуализация."", ""Интерес к сфере облачных технологий и системной интеграции и умение просто и интересно рассказывать о сложных вещах.""]",,
Сетевой инженер,1-3 года,Старший инженер по подключению и техническому обслуживанию корпоративных клиентов,"[""Настройка сетевых подключений"", ""Техническое обслуживание"", ""Linux"", ""Cisco"", ""Английский — A1 — Начальный""]","[""знание основ построения и работы сетей передачи данных"", ""опыт работы в сфере телекоммуникаций не менее 1 года будет вашим преимуществом.""]",,
Сетевой инженер,1-3 года,Системный администратор (телефония и коммуникации),"[""Администрирование"", ""Skype"", ""IP телефония"", ""TCP/IP"", ""Cisco"", ""Мини-АТС"", ""Asterisk""]","[""Опыт обслуживания инфраструктуры Skype for Business"", ""Опыт работы с SBC, желательно - Audiocodes"", ""Опыт работы с FreePBX"", ""опыт работы с системами ВКС.""]",,
Сетевой инженер,1-3 года,Инженер по виртуальной инфраструктуре OSS,,"[""Опыт работы в телекоммуникационном операторе из BIG4, либо аналогичном операторе в другой стране, либо опыт работы в основном телекоммуникационном производителе (Huawei, Nokia, Ericsson, ZTE, Cisco, Juniper, Arista), в областях, непосредственно связанных с развитием или эксплуатацией сети мобильной связи"", ""Опыт администрирования платформ виртуализации KVM, VMWare ESXi/vSphere, либо других - openStack, OpenNebula, oVirt, Proxmox и пр."", ""Опыт работы с системами OSS операторского класса (NetAct, U2020, MAE, ENM), системами мониторинга, сбора логов и визуализации (Zabbix, Cacti, Nagios, MRTD, Prometheus, ELK, Grafana и другие)"", ""Опыт планирования и запуска платформ виртуализации различного масштаба от одного сервера виртуализации до облачного решения""]",,
Сетевой инженер,1-3 года,Администратор баз данных (Технический специалист),,"[""Уверенный пользователь"", ""Знание СУБД (Postgree, MySQL, Oracle), построение запросов, взаимодействие со сторонними организациями, ведение переговоров, ведение деловой переписки""]",,
Сетевой инженер,1-3 года,Ведущий инженер сектора связи отдела системно-технического обеспечения,"[""Маршрутизация динамическая"", ""Продвинутый пользователь ПК"", ""работы с сетевым оборудованием (Cisco, Zyxel, D-Link, Eltex), а так же Avaya и Asterisk""]","[""знание принципов работы активного сетевого оборудования, построения и работы ЛВС"", ""опыт работы в сфере IT или опыт работы с сетевым оборудованием (Cisco, Zyxel, D-Link, Eltex), а так же Avaya и Asterisk"", ""опыт настройки и эксплуатации активного сетевого оборудования промышленного уровня""]",,
Сетевой инженер,нет опыта,Младший сетевой инженер,,"[""Администрирование операционных систем (Windows/Linux)"", ""Основы владения скриптовыми языками программирования (Python, Perl и т.п.) для задач автоматизации"", ""Основы владения языком структурированных запросов SQL"", ""Опыт настройки домашнего/офисного сетевого оборудования (маршрутизатор, коммутатор)""]",,
Сетевой инженер,нет опыта,Сетевой администратор,,"[""Поддержка и обслуживание сетевой инфраструктуры компании и внешних клиентов; (администрирование сетевого оборудования - коммутаторы, маршрутизаторы, межсетевые экраны, системы DPI, VPN концентраторы и прочее)"", ""Мониторинг доступности и устранение инцидентов"", ""Поддержка офисных Wi-Fi сетей""]",,
Сетевой инженер,нет опыта,Инженер-аналитик Ankey ASAP,"[""Информационная безопасность"", ""Linux"", ""SIEM"", ""DLP"", ""СУБД"", ""PostgreSQL"", ""Python"", ""PowerShell"", ""Bash""]","[""Наличие базовых навыков администрирования ОС Unix/Linux (RPM-based), желательно РЕД ОС"", ""Понимание сетевых технологий (OSI, сетевые устройства, IP-адресация и маршрутизация, сетевые сервисы)"", ""Понимание инфраструктурных решений (AD (LDAP), DNS, DHCP, NTP, SMTP)"", ""Знание принципов функционирования веб-приложений            Знания в сфере информационной безопасности, в частности программных продуктов по ИБ"", ""Опыт внедрения, настройки или администрирования средств защиты информации (DLP, SIEM, UEBA, EDR, SOAR)"", ""Наличие навыков администрирования СУБД PostgreSQL"", ""Наличие навыков написания скриптов (Powershell/Bash/Python)""]",,
Системный администратор,1-3 года,Системный администратор (удалённо),"[""1-я линия"", ""Техническая поддержка"", ""Helpdesk""]","[""Опыт администрирования Windows серверов:"", ""Обеспечение бесперебойного функционирования ИТ-систем"", ""Мониторинг и восстановление работоспособности локальной сети и пользовательского оборудования при сбоях или выходе из строя программного обеспечения и серверов"", ""Техническая и программная поддержка пользователей (Help Desk)"", ""Администрирование сетевой инфраструктуры (настройка сетевых подключений на ПК, настройка роутеров и другого сетевого оборудования) и клиентских рабочих мест"", ""Опыт работы с Windows Server, MikroTik и Linux будет плюсом.""]",,
Системный администратор,1-3 года,Junior IT Support Engineer,"[""Mac Os"", ""Windows API"", ""SVN"", ""Git"", ""Настройка ПО"", ""Helpdesk"", ""Английский — B1 — Средний""]","[""Знание аппаратного устройства PC и MAC."", ""Знание программного устройства Windows, MacOS."", ""Понимание работы СКВ (Git, Perforce, SVN)."", ""Любовь к играм и индустрии Game Dev""]",,
Системный администратор,1-3 года,Младший системный администратор,"[""Техническая поддержка"", ""Администрирование сетевого оборудования"", ""Администрирование серверов Windows"", ""MikroTik"", ""Active Directory"", ""Hyper-V"", ""DNS"", ""Help Desk"", ""Microsoft Server""]","[""Знание MS Windows Server (Active Directory, Hyper-V, DNS)"", ""Техническая и программная поддержка пользователей (Help Desk)"", ""Администрирование сетевой инфраструктуры (настройка сетевых подключений на ПК, настройка роутеров и другого сетевого оборудования) и клиентских рабочих мест"", ""Опыт работы с Windows Server, MikroTik и Linux будет плюсом""]",,
Системный администратор,1-3 года,Системный администратор,,"[""Знание и понимание работы ОС Windows Server:"", ""Знание и понимание работы SQL Server:"", ""Понимание принципов работы сети:"", ""Знание работы VLAN и маршрутизации трафика"", ""Опыт настройки и работы с бесшовными беспроводными сетями на базе Mikrotik и UniFi"", ""Опыт настройки и работы с Exchange:"", ""Опыт работы со стандартными средствами резервного копирования и восстановления системы"", ""Знание и умение пользоваться консолью Exchange""]",,
Системный администратор,1-3 года,Системный администратор,"[""Настройка сетевых подключений"", ""Администрирование сетевого оборудования"", ""Администрирование серверов Windows""]","[""Знание ADDS, DHCP, DNS, GPO, IIS"", ""Опыт работы с настройкой групп безопасности"", ""Знание и практические навыки работы с виртуализацией на базе Hyper-V"", ""Опыт работы с пакетом System Center (SCVMM, SCCM, SCOM, SCDPM)""]",,
Системный администратор,1-3 года,Системный администратор,"[""Офисная техника"", ""Администрирование"", ""MS Office"", ""Windows Os"", ""Работа в команде"", ""Обеспечение жизнедеятельности офиса"", ""IP телефония""]","[""Знание внутренних сервисов (AD, Terminal Server, VPN DHCP DNS NAT)"", ""Опыт мелкого монтажа ЛВС"", ""Знание аппаратной части компьютера"", ""Опыт работы с продуктами Microsoft"", ""Начальный уровень знаний в ip-телефонии""]",,
Системный администратор,1-3 года,Помощник системного администратора,"[""Настройка ПК"", ""Ремонт ПК"", ""Настройка ПО"", ""Сборка ПК"", ""Настройка сетевых подключений"", ""Офисная техника"", ""Linux"", ""Администрирование серверов Windows"", ""Техническая поддержка""]","[""Опыт работы на должности с аналогичным функционалом от 2-х лет"", ""Уверенное знание ПК, офисных программных продуктов"", ""Опыт работы с продуктами Microsoft AD, Exchange, файловые сервисы"", ""Опыт в использовании и обслуживании систем мониторинга, резервного копирования"", ""Знание продуктов Windows Server, Linux дистрибутивов.""]",,
Системный администратор,1-3 года,Младший системный администратор,"[""Администрирование сетевого оборудования"", ""Техническая поддержка"", ""TCP/IP"", ""Active Directory"", ""Asterisk"", ""PowerShell"", ""Настройка ПК"", ""LAN"", ""Windows Os"", ""Linux"", ""KVM""]","[""Опыт системного администрирования не менее года"", ""Знание серверных операционных систем и их основных сервисов"", ""Базовое знание сетей и навык поиска сетевых проблем"", ""Знание принципов диагностики и ремонта ПК""]",,
Системный администратор,1-3 года,Администратор/Инженер по сопровождению,,"[""знакомство с OpenShift: Docker, Kubernetes"", ""знание СУБД Oracle/PostgreSQL"", ""опыт работы с Apache Kafka"", ""опыт работы с RedHat JBoss/WildFly"", ""опыт автоматизации: написание скриптов на Jython/Python, bash, PowerShell, навыки работы с Jenkins"", ""опыт работы в инструментах Jira/Confluence""]",,
Системный администратор,1-3 года,Системный администратор со знанием 1С,,"[""знание операционных систем семейства Windows (в частности Windows Server на уровне администрирования)"", ""опыт работы с серверным железом"", ""навык работа с 1С (резервное копирование, обновление платформы, обновление типовых конфигурации, взаимодействие с подрядчиками)"", ""навык работа с Bitrix CRM + Сайт (взаимодействие с подрядчиками)"", ""знание протоколов TCP/IP, DNS, DHCP"", ""умение настраивать и работать с VPN"", ""опыт работы с сетевым оборудованием Cisco"", ""навыки обслуживания и администрирования систем видеонаблюдения и СКУД (будет плюсом навык работы с Trassir Server)""]",,
Системный администратор,1-3 года,Системный администратор,"[""Ремонт ПК"", ""Администрирование сетевого оборудования"", ""Администрирование серверов Windows"", ""Системы видеонаблюдения"", ""Настройка сетевых подключений"", ""Настройка ПК"", ""Локальные сети"", ""Системное администрирование"", ""Администрирование серверов"", ""Сборка ПК"", ""Офисная техника"", ""VPN"", ""Техническая поддержка"", ""Настройка серверов"", ""Обеспечение антивирусной защиты"", ""Работа с ТМЦ"", ""СКУД"", ""Системы контроля доступа""]","[""Опыт работы в сфере от 1 года"", ""Опыт обслуживания 50+ рабочих мест"", ""Знание пользовательских ОС Windows на уровне администратора"", ""Умение производить диагностику и ремонт (блочный) компьютерной техники"", ""Понимание основ локальной сети"", ""Опыт работы с IP-телефонией"", ""Опыт работы с системой видеонаблюдения"", ""CRM Битрикс24"", ""Опыт работы со СКУД Hikvision желателен"", ""Опыт в администрировании MS SQL - на уровне создания и восстановления бэкапов"", ""Знание Mikrotik Router OS - будет преимуществом"", ""Начальные знания ОС Linux - будут преимуществом.""]",,
Системный администратор,1-3 года,Системный администратор (офис),"[""Администрирование сетевого оборудования"", ""Администрирование серверов Windows"", ""Ремонт ПК"", ""Настройка серверов"", ""Администрирование серверов"", ""Техническое обслуживание"", ""Проектирование ЛВС"", ""Информационная безопасность"", ""Настройка ПК""]","[""Релевантный опыт работы в должности Системного администратора от 3-х лет"", ""Наличие базовых навыков администрирования Windows\\Linux"", ""Знания принципов работы: электронной почты, сетей передачи данных, стека протоколов TCP/IP"", ""Базовое понимание принципов построения СКС и ЛВС"", ""Знание и понимание принципов работы всех офисных программ на уровне продвинутого пользователя"", ""Умение разбираться в аппаратных и программных составляющих ПК, в принципах организации сетей"", ""Базовые навыки работы с СКС и монтажных работ (расшивка патч-панелей, сетевых розеток).""]",,
Системный администратор,1-3 года,Ведущий специалист по системному администрированию,"[""Техническая поддержка"", ""Linux"", ""Настройка ПК"", ""Администрирование серверов Windows"", ""Администрирование""]","[""Навыки по диагностике и устранению проблем с программным обеспечением пользователей, проблемы печати, проблемы с доступом к сервисам."", ""Уверенное знание Linux (ОС Debian, Ubuntu, CentOS), установка, настройка и обслуживание, работа в терминале. Знание основных команд."", ""Уверенное знание OS Windows 10, Windows server 2012-2019, знание сервисов доменной структуры – Active Directory, DNS, DHCP, DFS, GPO, RDS, установка, настройка и обслуживание."", ""Понимание принципов построения и работы сети, маршрутизация, маскировка адреса, проброс портов и IP адресов. Знания низкоуровневой фильтрации TCP/IP пакетов."", ""Сертификаты SSL, знания построения ключевой пары, принципы работы."", ""Знания почтовых сервисов, IMAP."", ""Опыт работы с сетевым оборудованием: настройка, обслуживание, построение сложных сетей, VLAN, Trunk."", ""Опыт в организации резервного копирования данных, виды РК."", ""Знания в работе серверного оборудования и ПО, СХД.""]",,
Системный администратор,1-3 года,Системный администратор,"[""Администрирование сетевого оборудования"", ""Hyper-V"", ""Администрирование серверов Windows"", ""Настройка сетевых подключений""]","[""Опыт работы системным администратором от года."", ""Хороший опыт администрирования и настройки сетевого оборудования.""]",,
Системный администратор,1-3 года,Системный администратор,"[""Настройка ПК"", ""Настройка ПО"", ""Сборка ПК"", ""Ремонт ПК"", ""Настройка сетевых подключений"", ""Техническая поддержка"", ""Поддержка МИС""]","[""Уверенное знание \""компьютерного железа\"" и архитектуры современных ПК"", ""Знание и понимание в ремонте компьютерной и печатающей техники"", ""Знание принципов построения локальных сетей"", ""Знание операционных систем семейства Windows (7,8,10)"", ""Знание операционных систем семейства Linux"", ""Опыт работы с МИС \""Самсон\"" будет вашим преимущестом""]",,
Системный администратор,1-3 года,Ведущий системный администратор,"[""Linux"", ""Администрирование сетевого оборудования"", ""Настройка сетевых подключений"", ""Администрирование серверов Linux"", ""DHCP"", ""Настройка DNS"", ""Hyper-V"", ""VPN"", ""Bash"", ""Virtualization"", ""Mikrotik"", ""esxi""]","[""Знание серверных операционных систем MS Windows 2008R2-2022"", ""Хорошее знание Linux систем семейства Debian, CentOS"", ""Развертывание инфраструктуры на базе MS Windows Server AD, GPO, Terminal Server, DHCP, DNS"", ""Настройка и поддержка работы IP-телефонии 3cx"", ""Хорошие навыки настройки, управления территориально распределенной сетевой инфраструктуры на базе Mikrotik (Firewall, NAT, VPN, Wireguard, Vlan, VxLan, OSPF)"", ""Развертывание и администрирование баз данных MS SQL 2019, PostgreSQL"", ""Виртуализация Vmware, Hyper-V"", ""Навыки работы в системе мониторинга Zabbix, Prometheus, Grafana"", ""Знание 1С со стороны системного администратора (поддержка работоспособности, бэкап, решение проблем производительности)"", ""умение использовать Gitlab CI/CD, docker, docker compose будет вашим преимуществом"", ""Настраивать nginx, nginx-proxy"", ""Автоматизация рутинных операций (bash)""]",,
Системный администратор,1-3 года,Системный администратор,"[""Администрирование сетевого оборудования"", ""Настройка серверов"", ""Windows Server 2003"", ""Офисная техника"", ""Техническое обслуживание"", ""Администрирование серверов""]","[""Опыт работы системным администратором от 1 года""]",,
Системный администратор,1-3 года,Системный администратор Linux (удаленно),"[""Linux"", ""Bash"", ""Ansible""]","[""отличное знание Linux"", ""опыт работы системным администратором не менее 2-х лет"", ""опыт работы с гипервизором KVM"", ""опыт работы с mysql (важен опыт настраивания репликации в mysql)"", ""хорошее понимание принципов функционирования DNS"", ""хорошее знание Bash"", ""навыки в обеспечении безопасности интернет-серверов"", ""опыт работы с ansible"", ""базовое знание Perl или Python для написания различных сценариев""]",,
Системный администратор,1-3 года,Системный администратор,"[""Администрирование сетевого оборудования"", ""Linux (Debian, Centos)"", ""Apache"", ""Nginx"", ""OpenVPN"", ""Wireguard"", ""1С: Предприятие"", ""1С: Предприятие 8"", ""MS SQL Server"", ""Postfix"", ""MS Exchange"", ""Asterisk"", ""Freepbx"", ""Mikrotik"", ""FIrewall"", ""Маршрутизация"", ""VPN"", ""Настройка серверов Apache"", ""Zabbix"", ""Veeam"", ""Конфигурирование оборудования"", ""Администрирование серверов""]","[""Администрирование серверов MS Server 2016, 2019, 2022 (Microsoft Hyper-V, Active, Directory, RDS)"", ""Администрирование серверов 1С:Предприятие + Microsoft SQL Server"", ""Конфигурирование оборудования Mikrotik, Firewal, Маршрутизация, VPN (OpenVPN, Wireguard, L2TP, Ipsec)"", ""Опыт работы с системами мониторинга (Zabbix)"", ""Сопровождение систем резервного копирования (Veeam)"", ""Умение автоматизировать задачи с помощью скриптов на Bash и умение разбираться в чужих.""]",,
Системный администратор,1-3 года,Системный администратор серверов и систем хранения данных,"[""TCP/IP"", ""VPN"", ""NAT"", ""FIrewall"", ""Proxy"", ""OS Linux""]","[""Стаж работы на должности системного администратора/инженера от 2 лет"", ""Уверенные знания в области администрирования OS Linux"", ""Понимание принципов технологий контейнерной виртуализации и оркестрации"", ""Понимание сетевых технологий TCP/IP, VPN, NAT, Firewall, Proxy""]",,
Системный администратор,1-3 года,Junior системный администратор/IT-специалист,"[""Настройка ПО"", ""Настройка ПК"", ""Сборка ПК"", ""Ремонт ПК"", ""Active Directory"", ""Администрирование сетевого оборудования"", ""Администрирование серверов Windows"", ""Настройка сетевых подключений"", ""Закупка оргтехники и оборудования""]","[""Опыт работы от 2 лет"", ""Уверенные знания ПК/ОС Windows, желателен опыт работы с доменной средой на базе Windows Server AD Базовые знания и Навыки работы с основными сетевыми протоколами TCP/IP"", ""Знание основ IP - телефонии"", ""Знание на уровне уверенного пользователя основных офисных программ - Word, Excel, 1C""]",,
Системный администратор,1-3 года,Junior IT Support Engineer,"[""Mac Os"", ""Windows API"", ""SVN"", ""Git"", ""Настройка ПО"", ""Helpdesk"", ""Английский — B1 — Средний""]","[""Знание аппаратного устройства PC и MAC."", ""Знание программного устройства Windows, MacOS."", ""Понимание работы СКВ (Git, Perforce, SVN)."", ""Знание индустрии Game Dev""]",,
Системный администратор,1-3 года,Системный администратор (удалённо),"[""1-я линия"", ""Техническая поддержка"", ""Helpdesk""]","[""Опыт администрирования Windows серверов""]",,
Системный администратор,1-3 года,Junior Atlassian Administrator,"[""Atlassian Jira"", ""Atlassian Confluence"", ""Linux""]","[""Знание Linux (deb / ubuntu) на уровне уверенного пользователя,"", ""Опыт администрирования Jira / Confluence,"", ""Навыки диагностики ошибок приложения,"", ""Понимание устройства сервера приложений JVM, веб сервера tomcat (как преимущество),"", ""Чтение groovy скриптов (ScriptRunner plugin) (как преимущество)""]",,
Системный администратор,1-3 года,Помощник системного администратора,"[""Информационная безопасность"", ""Настройка сетевых подключений"", ""Настройка ПО"", ""Офисная техника"", ""Администрирование серверов Windows"", ""Администрирование сетевого оборудования"", ""Настройка DNS""]","[""уверенные знания пакета MS Office, Офисное ПО"", ""знание принципов работы сетевых протоколов и служб (DNS, DHCP, SMTP, IMAP, HTTPS)"", ""знания аппаратной части ПК и сетевых технологий"", ""работа в домене на базе Microsoft Windows Server 2012-2019 (создание аккаунтов, права на файлы)"", ""опыт работы с Крипто ПРО""]",,
Системный администратор,1-3 года,Системный администратор,"[""Настройка сетевых подключений"", ""Администрирование сетевого оборудования"", ""Администрирование серверов Windows""]","[""Знание ADDS, DHCP, DNS, GPO, IIS"", ""Опыт работы с настройкой групп безопасности"", ""Знание и практические навыки работы с виртуализацией на базе Hyper-V"", ""Опыт работы с пакетом System Center (SCVMM, SCCM, SCOM, SCDPM)""]",,
Системный администратор,1-3 года,Системный администратор,,"[""Администрирование и настройка рабочих станций и серверов в организации. Сопровождение операционных систем Windows, Windows Server 2008R2, 2012, 2019"", ""Обслуживание рабочих мест и оргтехники в офисе"", ""Обслуживание локальной сети компании"", ""Поддержка удаленных рабочих столов"", ""Обеспечение безопасности данных"", ""Разработка инструкций по работе с программами, оформление необходимой технической документации"", ""Администрирование сайта на платформе Битрикс"", ""Администрирование систем видеонаблюдения Novicam"", ""Администрирование СКУД Quest II​​""]",,
