ГруппаВакансий,ОпытРаботы,НазваниеДолжности,КлючевыеТребования,Знания,Навыки,Опыт
Frontend-разработчик,1-3 года,Frontend-разработчик (middle),,"[""Уверенное знание Vue, JavaScript и TypeScript"", ""Уверенное знание HTML и CSS"", ""Понимание общих принципов и подходов к проектированию""]","[""Умение разбираться в чужом коде"", ""Умение работать с системой контроля версий Git""]","[""Опыт написания Single Page Applications"", ""Опыт проектирования и рефакторинга"", ""Опыт работы с WebSocket (socket.io)"", ""Опыт разработки на Angular, React"", ""опыт использования REST или аналоги"", ""опыт работы в методологии Agile/Scrum""]"
Frontend-разработчик,1-3 года,Middle Unity-разработчик,"[""ECS"", ""Unity"", ""MonoBehaviour""]",,"[""Умение писать код в Unity, используя MonoBehaviour только для визуала""]","[""Опыт работы с ECS (в идеале Unity.Entities)"", ""Опыт работы с UniTask (никаких короутин)"", ""Опыт работы с сетевой частью (кооперативные игры)"", ""Опыт работы с Spine"", ""Опыт работы с Addressables"", ""Опыт работы с DI контейнерами"", ""Опыт работы с Odin""]"
Frontend-разработчик,нет опыта,Frontend-разработчик,"[""JavaScript"", ""Git"", ""CSS"", ""PHP"", ""HTML"", ""Vue.js""]","[""знание HTML, JS, CSS, SCSS, Vue.js"", ""знание Php, Git, Node.JS + NPM + Gulp + Webpack, Bootstrap""]",,
Frontend-разработчик,нет опыта,ModX (веб\html) разработчик,"[""ModX"", ""умение и желание обучаться""]",,,"[""Опыт работы с ModX"", ""Опыт написания новых и модификации имеющихся сниппетов"", ""опыт написания чанков с вызовом сниппетов"", ""Опыт работы или понимание верстки HTML5, CSS3, (Flexbox, Grid Layout, Media Queries""]"
Frontend-разработчик,1-3 года,Middle Frontend-разработчик (Vue),"[""Sass"", ""CSS3"", ""HTML5"", ""JavaScript"", ""БЭМ"", ""Git"", ""Gulp"", ""Webpack"", ""vue"", ""vuex"", ""ES6""]","[""знали HTML5 + CSS3 (адаптивность, вёрстка под мобильные, CSS-препроцессоры - SCSS)"", ""знали Javascript (ES6 и выше, модули, классы)"", ""умели писать фронтенд на Vue.js + Vuex (другие фреймворки и стейт-менеджеры плюсом тоже приветствуются)"", ""умели продумывать сложные пользовательские интерфейсы, понимали что такое UX"", ""осознавали процесс взаимодействия с бэкендом, могли в команде продумывать лучшие решения для проекта"", ""применяли в своей работе методологию БЭМ"", ""использовали Git и системы сборки фронта (Gulp/Webpack/Vite/etc), могли сами всё настроить с нуля""]",,
Frontend-разработчик,1-3 года,Junior frontend JS / React developer разработчик,"[""GitHub"", ""CSS3"", ""React"", ""TypeScript"", ""Angular"", ""Vue.js"", ""HTML5"", ""Java Script"", ""Frontend""]","[""React до 2х лет"", ""Знание JavaScript / TypeScript (деструктуризация, промисы, работа с объектами, fetch, прототипы, event loop и т.д.)"", ""Понимание принципов и опыт работы хотя бы с одним Frontend фреймворком (React, Angular, Vue.js или другие)"", ""Опыт с Git, Github"", ""Знание HTML5 и CSS3, CSS-препроцессоры""]",,
Frontend-разработчик,1-3 года,"Frontend-разработчик Junior
","[""HTML"", ""JavaScript"", ""CSS"", ""jQuery"", ""Vue.js"", ""BEM""]","[""Знание HTML, CSS, JavaScript"", ""Знание jQuery"", ""Компонентная верстка (BEM)"", ""Умение разбираться в чужом коде"", ""Умение работать в команде разработчиков и с дизайнерами"", ""Будет плюсом знанием vue.js""]",,
Frontend-разработчик,1-3 года,Frontend developer,"[""TypeScript"", ""CSS"", ""HTML"", ""Git"", ""Figma"", ""Angular""]","[""разработки на Angular/React/Vue от 1 года"", ""TypeScript"", ""HTML, CSS"", ""Аккуратная верстка"", ""GIT.""]",,
Frontend-разработчик,1-3 года,Middle Frontend разработчик,"[""Bitrix"", ""Веб-программирование"", ""HTML"", ""JS"", ""CSS""]","[""Уверенное знание HTML, CSS, JS"", ""Figma"", ""Опыт работы СMS 1CBitrix, Wordpress"", ""БЭМ""]",,
Frontend-разработчик,1-3 года,Middle Frontend Developer,"[""React"", ""Git"", ""JavaScript"", ""HTML"", ""Vue"", ""REST"", ""Bootstrap""]","[""Опыт коммерческой разработки с React от 2-х лет"", ""Отличное знание HTML, CSS"", ""Опыт работы с Bootstrap, Material Design, Rest"", ""Опыт использования Git""]",,
Frontend-разработчик,1-3 года,"Frontend-разработчик (Web, Angular)","[""AngularJS"", ""HTML"", ""HTML5"", ""CSS"", ""JavaScript"", ""TypeScript""]","[""Отличные знания HTML/XHTML/HTML5, CSS/CSS3"", ""Опыт работы с препроцессором Less или SASS"", ""Уверенное владения JavaScript, Angular6+, TypeScript, AngularJS"", ""Опыт разработки WEB-приложений и оптимизации клиентской части"", ""Знание технологий и основных шаблонов проектирования"", ""Умение писать кроссбраузерный код""]",,
Frontend-разработчик,1-3 года,Frontend-разработчик (middle),,"[""Уверенное знание Vue, JavaScript и TypeScript"", ""Опыт написания Single Page Applications"", ""Уверенное знание HTML и CSS"", ""Опыт проектирования и рефакторинга"", ""Умение разбираться в чужом коде."", ""Опыт работы с WebSocket (socket.io)"", ""Умение работать с системой контроля версий Git"", ""Понимание общих принципов и подходов к проектированию""]",,
Frontend-разработчик,1-3 года,Middle Frontend Developer (VueJS),"[""Vue"", ""Git"", ""JavaScript"", ""Nuxt"", ""Vue.js"", ""Vue3"", ""Nuxt3""]","[""Уверенно работаешь с Vue 3"", ""Знаешь SSR (Nuxt 3)"", ""Отлично владеешь Javascript (nodejs - базовый уровень; webpack / vite)"", ""Знаешь и работал с Pinia"", ""Знаешь и понимаешь принципы работы с tailwindcss (понимание адаптивной верстки (mobile first))"", ""Верстал с использованием Figma, знаком с Photoshop.""]",,
Frontend-разработчик,1-3 года,Frontend разработчик,"[""JavaScript"", ""Angular"", ""ООП"", ""REST"", ""React"", ""API"", ""Webpack"", ""REST API"", ""Git"", ""React Native"", ""Vue""]","[""Понимание подходов к разработке web-приложений"", ""Понимание, что такое REST и принципы ООП"", ""Уверенный код на HTML/CSS"", ""Знание JavaScript, фреймворк React (Next)"", ""Опыт работы с React Native и мобилками.""]",,
Frontend-разработчик,1-3 года,Frontend Developer / Frontend разработчик,,"[""React + NextJS"", ""Redux + Redux-Thunk"", ""Styled-Components"", ""TypeScript""]",,
Frontend-разработчик,1-3 года,Frontend Developer (Gamedev),"[""JavaScript"", ""HTML"", ""CSS"", ""RxJs"", ""Vue.js"", ""PixiJS"", ""Webpack"", ""Nginx""]","[""Хорошие знания JavaScript (ES5/ES6), HTML и CSS, понимание как работает цикл событий и рендеринг в браузере"", ""Опыт работы с PixiJS"", ""Опыт работы с RxJs, Vue.js, Webpack, понимание реактивного программирования"", ""Навыки работы в Linux - способность самостоятельно настроить рабочее окружение (Nginx)"", ""Базовые знания редактора Unity, верстка, умение разобраться в несложных С# скриптах""]",,
Frontend-разработчик,1-3 года,Frontend-разработчик,,"[""Опыт коммерческой разработки с Vue.js от 2х лет"", ""Уверенные знания JavaScript, TypeScript, CSS (SaaS)"", ""Опыт написания Unit тестов."", ""Работали с контейнеризацией Docker"", ""Имеется опыт работы с Socket.IO.""]",,
Frontend-разработчик,1-3 года,Middle Frontend-developer (React),"[""JavaScript"", ""Node.js"", ""React.js"", ""PostgreSQL"", ""CSS"", ""HTML"", ""SSR""]","[""Уверенный уровень знаний Javascript, React, HTML5, CSS3"", ""Опыт с SSR."", ""Знание Docker, Redis, CI/CD, Node.js"", ""Опыт с REST API"", ""Владение Gitlab"", ""Опыт с Web 3.0.""]",,
Frontend-разработчик,1-3 года,Front-end JavaScript разработчик,,"[""уверенные и глубокие знания HTML, SVG, Canvas и CSS."", ""Уверенные знания JavaScript."", ""Предпочтительно знание одного из диалектов SQL (либо Transact-SQL, либо PG/PLSQL)."", ""Опыт разработки виджетов, позволяющих пользователю взаимодействовать с различной картографической информацией."", ""Иметь представление о форматах трекинга типа .gpx."", ""Иметь представление о форматах для растровых карт для оффлайн работы типа .sqlitedb."", ""Иметь представление о форматах векторных оверлеев типа .geojson."", ""Опыт использования какой-либо js библиотеки для работы с картографической информацией."", ""Иметь представление об объектно-ориентированном программировании."", ""Понимать, что такое WEB приложения категории SPA."", ""Иметь представление о компонентной структуре приложений."", ""Иметь представление о понятии «Виджет»."", ""Иметь представление о понятии «Декларативное описание»."", ""Уметь реализовывать конструкции разметки и CSS, позволяющие при рендеринге минимизировать использование JavaScript кода."", ""Понимать, что в некоторых случаях возможна работа с динамическим CSS (настройка css-классов из конфигурации виджета)."", ""Умение взаимодействовать с дизайнером (дизайнер работает в Figma)."", ""Умение взаимодействовать с бизнес-аналитиком для более глубокого понимания предметной области."", ""Понимать, что у виджетов может быть жизненный цикл. Понимать, что виджет может в процессе своего жизненного цикла менять свое состояние (может изменяться внешний вид, может блокироваться часть его интерфейса, может отображаться дополнительная информация типа прогресса загрузки данных и т.п.)."", ""Опыт работы с git."", ""Опыт работы с системами bugtracking""]",,
Frontend-разработчик,1-3 года,Frontend JS developer,"[""JavaScript"", ""react"", ""figma"", ""typescript"", ""Astro Islands""]","[""Хорошее знание JavaScript, TypeScript, React"", ""Умение точно и грамотно выражать свои мысли."", ""Навыки работы с Figma"", ""Опыт работы с Astro Islands"", ""Опыт работы с системами фин процесинга"", ""Понимание принципов работы микросервисной архитектуры."", ""Опыт работы с Docker""]",,
